Product Name,Veg/Non-Veg,Description,Cost,Rating
Smoky Red Grilled Chicken - 2 pc,Non-veg item,Savour 2 pieces of KFC Smoky Red Chicken- Hot Grilled Chicken Leg Piece! This item is customizable. Swipe right to add item to cart.,261,4.3
Smoky Red Grilled Chicken - 1 pc,Non-veg item,1pc smoky grilled chicken This item is customizable. Swipe right to add item to cart.,131,4.1
Peri Peri Chicken Strips - 3 pc,Non-veg item,3 Pieces Spicy Peri Peri chicken boneless strips This item is customizable. Swipe right to add item to cart.,89,4.0
Peri Peri Chicken Leg Piece - 1 pc,Non-veg item,Crispy Chicken Leg Piece This item is customizable. Swipe right to add item to cart.,121,4.1
2 pc Veg Patty,Veg Item,"Delicious, crispy, veg add-on Swipe right to add item to cart.",163,3.5
French Fries - Large,Veg Item,Large size Fries This item is customizable. Swipe right to add item to cart.,59,4.1
French Fries - Medium,Veg Item,Medium size Fries This item is customizable. Swipe right to add item to cart.,104,3.8
Pack of 4 Dips,Veg Item,Adding dips is always a good idea! Swipe right to add item to cart.,109.52,4.5
Pack of 2 Dips,Veg Item,Adding dips is always a good idea! Swipe right to add item to cart.,57.14,4.0
Tandoori Flavour Dip - 20 gm,Veg Item,Add Tandoori Masala Dip to your meal! Swipe right to add item to cart.,28.57,4.2
Classic Zinger Burger,Non-veg item,"Signature chicken burger made with a crunchy chicken fillet, veggies & a delicious mayo sauce This item is customizable. Swipe right to add item to cart.",199.05,3.8
Zinger Burger - Veg,Veg Item,"Signature veg burger with crispy patties, veggies & a tangy sauce This item is customizable. Swipe right to add item to cart.",188.57,4.9
Tandoori Zinger Burger,Non-veg item,Chicken zinger with a delicious tandoori sauce This item is customizable. Swipe right to add item to cart.,208.57,4.3
2 Chicken Krisper Burgers,Non-veg item,2 delicious chicken value burgers - at a deal price Swipe right to add item to cart.,248.57,4.9
4 Pc Hot Wings & Medium Fries,Non-veg item,4 Pieces of Hot Wings with medium Fries This item is customizable. Swipe right to add item to cart.,278.10,4.1
4 Pc Hot Wings & Regular Popcorn,Non-veg item,4 Pieces of Hot Wings with Regular Popcorn This item is customizable. Swipe right to add item to cart.,294.29,4.1
2 Veg Patty & Medium Fries,Veg Item,2 Pieces of Veg Patty with Medium Fries This item is customizable. Swipe right to add item to cart.,254.29,5.0
1 Regular Popcorn & Medium Fries,Non-veg item,Enjoy a Regular Popcorn with Medium Fries This item is customizable. Swipe right to add item to cart.,214.29,NA
1 Hot & Crispy with Regular Popcorn,Non-veg item,1 Piece Hot & Crispy with Regular Popcorn This item is customizable. Swipe right to add item to cart.,230.48,NA
1 Hot & Crispy with Medium Fries,Non-veg item,1 Hot & Crispy with Medium Fries This item is customizable. Swipe right to add item to cart.,214.29,NA
2 pc Hot & Crispy Chicken,Non-veg item,Signature Hot & crispy chicken This item is customizable. Swipe right to add item to cart.,229.52,4.5
Large Chicken Popcorn,Non-veg item,"Signature bite-sized boneless chicken, with special spices This item is customizable. Swipe right to add item to cart.",248.57,4.9
2 Pcs Smoky Red Chicken,Non-veg item,"Spicy, red, grilled chicken This item is customizable. Swipe right to add item to cart.",248.57,NA
Rice Bowlz - Classic Chicken,Non-veg item,Hot & Crispy Chicken rice bowl mixed with spicy gravy This item is customizable. Swipe right to add item to cart.,229.52,NA
Rice Bowlz- Smoky Red Chicken,Non-veg item,Smoky Red Chicken rice bowl mixed with spicy gravy This item is customizable. Swipe right to add item to cart.,229.52,NA
Rice Bowlz - Popcorn Chicken,Non-veg item,Popcorn Chicken rice bowl mixed with spicy gravy This item is customizable. Swipe right to add item to cart.,229.52,3.8
Rice Bowlz - Veg,Veg Item,Veg rice bowl mixed with spicy gravy This item is customizable. Swipe right to add item to cart.,199.05,NA
Rizz Fizz,Veg Item,Sip the Epic! Refreshing and Tangy Cooler with an exciting Boba Twist! Swipe right to add item to cart.,129,NA
Virgin Mojito Reusable Bottle,Veg Item,All New Reusable Mojito Bottle 330ml Swipe right to add item to cart.,105,NA
Masala Pepsi Reusable Bottle,Veg Item,A spicy kick to everyone's favourite drink Swipe right to add item to cart.,105,NA
Masala Mirinda Reusable Bottle,Veg Item,"A refreshing drink with Mirinda, masala lime and soda to beat the heat Swipe right to add item to cart.",105,NA
Dew Mojito Reusable Bottle,Veg Item,"A refreshing drink with Mountain Dew, lime and soda to beat the heat Swipe right to add item to cart.",105,NA
Pepsi Reusable Bottle,Veg Item,New Reusable Pepsi Bottle 330ml Swipe right to add item to cart.,99,NA
7Up Reusable Bottle,Veg Item,7Up in a KFC reusable bottle Swipe right to add item to cart.,99,NA
Mirinda Reusable Bottle,Veg Item,Mirinda in a KFC reusable bottle Swipe right to add item to cart.,99,NA
Mountain Dew Reusable Bottle,Veg Item,Mountain Dew in a KFC reusable bottle Swipe right to add item to cart.,99,NA
Choco Lava Cake,Veg Item,Chocolate Goodness! Soft chocolate cake with lava oozing center Swipe right to add item to cart.,114,3.0
Choco Mud Pie,Veg Item,Hit the Dessert Spot with the KFC Choco Mud Pie- creamy layered cake Swipe right to add item to cart.,64,2.9
Mousse Cake - Coffee flavoured,Veg Item,Satiate your sweet cravings with the Coffee flavoured Mousse Cake! Divinely sweet! Swipe right to add item to cart.,135,NA
Pepsi PET 475ml,Veg Item,Cheers to fizz that makes you Rise Up Baby! Order Pepsi to make your food rise up to your level of awesome! Swipe right to add item to cart.,57.14,3.9
Pepsi Can 300 ml,Veg Item,Pepsi Can 300 ml Swipe right to add item to cart.,57.10,3.2
7UP Can 300 ml,Veg Item,7UP Can 300 ml Swipe right to add item to cart.,57.10,4.6
Pepsi Black Can 300 ml,Veg Item,Pepsi Black Can 300 ml Swipe right to add item to cart.,57.10,3.1
Mirinda Can 300 ml,Veg Item,Mirinda Can 300 ml Swipe right to add item to cart.,57.10,4.9
Pepsi 475ml Pet,Veg Item,Pepsi 475ml PET Swipe right to add item to cart.,57.14,4.5
