Product Name,Veg/Non-Veg,Description,Cost,Rating
"Tehri, Achar, Curd",Veg Item,"Tehri with mix veg,salad, Achaar, rayta Swipe right to add item to cart.",260,2.5
Aalu sabudana balls,Veg Item,"Aaloo, sabudane, mix veg Ball's Vrat ke item 10 pcs Swipe right to add item to cart.",250,2.5
Bread Pakoda,Veg Item,"[4pcs]......A delectable snack made with crispy bread, packed with savory flavors and a delightful crunch. Swipe right to add item to cart.",230,3.7
Pyaaz Besan Ki Pakoda,Veg Item,"Pyaz, besan,hari mirch, Dhaniya Swipe right to add item to cart.",200,2.7
Vrat vala snake,Veg Item,"Fry aalu, anaar dana, peanut, aalu bhujiya Swipe right to add item to cart.",300,2.8
Crispy paneer sticks,Veg Item,Deliciously crispy paneer sticks with green sauce Swipe right to add item to cart.,299,3.5
Hare bhare fare,Veg Item,Matar ke fare Swipe right to add item to cart.,299,2.8
Fry idli,Veg Item,Tadka idli Swipe right to add item to cart.,289,3.5
Appe,Veg Item,Mix veg suji ke appe with sauce Swipe right to add item to cart.,225,2.9
Mix Veg Uttapam,Veg Item,Mix veg uttapam capsicum onion carrot beans with suji [2 pcs] Swipe right to add item to cart.,250,3.7
French fries,Veg Item,Crispy French fries with ketchup and mayo Swipe right to add item to cart.,220,3.4
Thread Samosa,Veg Item,Stuffing paneer aloo tikki 4 piece Swipe right to add item to cart.,199,3.7
Fry mirch,Veg Item,Fry Tikhi hari mirch Swipe right to add item to cart.,199,3.7
Sirka onion,Veg Item,A delightful and tangy onion snack that will leave you craving for more. Swipe right to add item to cart.,220,2.9
Hyderabadi stuffed baigan,Veg Item,A delectable Hyderabadi specialty showcasing tender eggplant stuffed with an irresistible mixture of flavors. Swipe right to add item to cart.,260,3.5
Chatpate chane sev,Veg Item,"A tangy and flavorful snack made with crispy sev and savory chickpeas, perfect for a delightful indulgence. Swipe right to add item to cart.",210,3.1
Rice pakodi,Veg Item,Rice pakodi with green chatni (30 pcs) Swipe right to add item to cart.,299,2.9
Aaloo pakode,Veg Item,Aaloo ke pakode with green chatni (12 pcs) Swipe right to add item to cart.,280,2.9
Chilli garlic masala Maggie,Veg Item,Masala Chilli garlic masala Maggie Swipe right to add item to cart.,210,2.5
Chola Rice,Veg Item,A flavorful and hearty pocket-friendly meal combo featuring a delectable combination of aromatic rice and savory chickpeas. Swipe right to add item to cart.,290,2.7
Rajma Rice,Veg Item,"Rajma, rice combo, rayta with salad chatni Swipe right to add item to cart.",220,2.8
Dal Rice,Veg Item,"A comforting and affordable combination of lentils and rice, perfect for a quick and satisfying vegetarian meal. Swipe right to add item to cart.",290,3.7
Besun Curry Rice,Veg Item,Combo meal Swipe right to add item to cart.,290,3.4
Arhar Urad Mix Dal Rice,Veg Item,"Arhar or urad mix dal tadka, with rice Swipe right to add item to cart.",290,3.5
Sabji Pratha,Veg Item,4 pratha with dry seasonal veg Swipe right to add item to cart.,210,2.6
Puri Sabji,Veg Item,"Seasonal veg , 5 pcs pudi Swipe right to add item to cart.",199,3.1
4 Pcs Roti Sabji,Veg Item,"4 pratha seasonal veg rayta,salad, achaar Swipe right to add item to cart.",199,2.6
Plain Pratha,Veg Item,4 pcs plain paratha Swipe right to add item to cart.,129,3.4
Pyaaz Pratha 2 Pcs,Veg Item,"A delectable, pocket-friendly combo with two irresistible vegetable-filled Pyaaz Prathas. Swipe right to add item to cart.",210,3.6
Alloo Pratha 2 Pcs,Veg Item,Aloo paratha with pickle and curd Swipe right to add item to cart.,220,3.3
Sattu Pratha,Veg Item,Sattu pratha 2 pcs Swipe right to add item to cart.,230,3.0
Paneer Pratha 2 Pcs,Veg Item,Delicious and pocket-friendly combo of 2 pieces of Paneer Pratha. Swipe right to add item to cart.,240,3.2
Holi Special Crispy Namak Pare,Veg Item,Namak pare Swipe right to add item to cart.,380,2.6
Mix Daal,Veg Item,"Arhar, urad, laal masoor, hari urad, mix dal Swipe right to add item to cart.",250,2.9
Steam Rice,Veg Item,An affordable and satisfying vegetarian combo featuring fluffy steamed rice and delectable flavors. Swipe right to add item to cart.,280,3.1
Masoor dal khichadi,Veg Item,"Masoor dal ki khichadi, salad Swipe right to add item to cart.",210,3.6
Egg Bhurji Fish Roti,Non-veg item,Egg bhurji with 4 pcs roti Swipe right to add item to cart.,260,2.6
Egg rice combo,Non-veg item,"A delectable combination of rice and eggs, perfect for a pocket-friendly and satisfying meal. 2 pies egg curry Swipe right to add item to cart.",260,3.6
Begun Bharta,Veg Item,"A luscious and flavorful Indian delicacy, this vegetable gravy will transport your tastebuds to a world of pure delight. This item is customizable. Swipe right to add item to cart.",250,3.6
Aaloo Baigan Ki Sbzi,Veg Item,Aaloo baigan tamatar Dhaniya mircha 280/half 480/full Swipe right to add item to cart.,280,3.4
Makhane Ka Rayta,Veg Item,Makhana dahi anar dana Swipe right to add item to cart.,225,3.0
Paneer Malmal (Punjabi Paneer ),Veg Item,"Dry fruit's, paneer Swipe right to add item to cart.",310,3.6
Spicy Handi Paneer,Veg Item,"Paneer,dry fruits,Saif secret masale, Swipe right to add item to cart.",380,3.7
Masala Palak Paneer,Veg Item,Paneer Palak secret masala Swipe right to add item to cart.,390,3.3
Simple Palak Paneer,Veg Item,Palak paneer Swipe right to add item to cart.,370,2.7
Dry mix veg,Veg Item,"Beans, gajar, gobhi, Hara matar,paneer, green onion Swipe right to add item to cart.",299,2.7
Hare bhare parathe,Veg Item,"Hare matar ke prathe, ghr ke masale, with achaar or curd Swipe right to add item to cart.",200,3.0
Malai Kofta,Veg Item,"Panerr dry fruits ki stuffing, nd dry fruits tamato ki greavy Swipe right to add item to cart.",386,2.7
Dum aaloo,Veg Item,Dum aloo chatpati greavy Swipe right to add item to cart.,299,2.9
Kathal malai kofta,Veg Item,"Kathal kofta greavy dry fruit's, tamato khade masale Swipe right to add item to cart.",420,3.5
Mix veg kofta,Veg Item,Mix veg kofta semi greavy sbzi 4 pcs kofta pakodi Swipe right to add item to cart.,310,3.5
Jeera Aloo,Veg Item,A flavorful and aromatic potato dish that is perfect as a satisfying main course. This item is customizable. Swipe right to add item to cart.,310,3.4
Dry Aloo Gobhi,Veg Item,A delectable vegetarian main course featuring a flavorful blend of potatoes and cauliflower. Swipe right to add item to cart.,380,3.7
Sbzi paratha,Veg Item,Sbzi paratha /seasonal veg This item is customizable. Swipe right to add item to cart.,250,3.5
Gravy Aloo Soyabean,Veg Item,A flavorful and hearty vegetarian main course that combines the richness of gravy with the goodness of aloo and soyabean. This item is customizable. Swipe right to add item to cart.,250,3.1
Daal Tadka,Veg Item,"A flavorful and aromatic traditional Indian lentil dish, perfect for a satisfying and nourishing main course. This item is customizable. Swipe right to add item to cart.",210,3.1
Daal Fry,Veg Item,"A flavorful and hearty vegetarian main course that satisfies with its aromatic blend of spices and rich, comforting texture. This item is customizable. Swipe right to add item to cart.",210,2.5
Desi ghee Arhar Dal Tadka,Veg Item,Arhar daal tadka desi ghee me This item is customizable. Swipe right to add item to cart.,250,2.6
Lauki Kofta 2 Pcs,Veg Item,4pcs...Delicious vegetable koftas in a flavorful main course dish. This item is customizable. Swipe right to add item to cart.,299,3.6
Kali Masoor,Veg Item,A flavorful and aromatic Indian lentil dish that will satisfy your cravings for a hearty and fulfilling meal. This item is customizable. Swipe right to add item to cart.,280,3.4
Egg Curry,Non-veg item,2 pcs A flavorful and comforting non-veg main course dish featuring tender eggs in a rich and fragrant curry. This item is customizable. Swipe right to add item to cart.,210,3.6
Mator Paneer,Veg Item,A flavorful and hearty vegetarian main course that combines succulent cubes of cottage cheese with a rich and creamy tomato-based gravy. This item is customizable. Swipe right to add item to cart.,250,3.3
Kadai Paneer,Veg Item,A flavorful and aromatic Indian delight showcasing tender paneer cooked with a medley of fresh vegetables in a rich tomato-based gravy. This item is customizable. Swipe right to add item to cart.,250,2.7
Chatpati Fry Aloo Ki Sbzi,Veg Item,A flavorful and tantalizing vegetarian dish featuring crispy fried potatoes in a savory gravy bursting with delightful flavors. This item is customizable. Swipe right to add item to cart.,260,2.6
Chola Gravy,Veg Item,"A flavorful and savory dish that brings together a rich, aromatic gravy with perfectly cooked chola for a satisfying main course. This item is customizable. Swipe right to add item to cart.",289,3.6
Rajma Grvy,Veg Item,A rich and flavorful vegetarian main course that will tantalize your taste buds. This item is customizable. Swipe right to add item to cart.,289,2.5
Chane Ki Daal,Veg Item,"A flavorful vegetarian main course featuring a classic Indian lentil preparation, perfect for a satisfying meal. This item is customizable. Swipe right to add item to cart.",250,3.2
Chana Louki Daal,Veg Item,A delectable and satisfying vegetarian main course that combines the goodness of chana (chickpeas) and louki (bottle gourd) daal. This item is customizable. Swipe right to add item to cart.,240,3.4
Mator Nimona,Veg Item,A delectable veg main course that will tantalize your taste buds with its rich and flavorful blend of ingredients. This item is customizable. Swipe right to add item to cart.,250,3.0
Dry Aalu Parwal,Veg Item,"A delectable and flavorful veggie delight that combines the goodness of potatoes and parwal in a dry, satisfying main course dish. Swipe right to add item to cart.",269,3.5
Karele Ki Bhujiya,Veg Item,A flavorful and savory Indian stir-fry dish that will tantalize your taste buds. Swipe right to add item to cart.,230,2.9
Bharwan Karela,Veg Item,Stuff karele Swipe right to add item to cart.,230,3.1
Kadhai Paneer With 2Pcs Lacha Paratha,Veg Item,"Indulge in a flavorsome blend of succulent paneer cooked in a rich kadhai gravy, complemented by mouthwatering 2Pcs Lacha Paratha. Swipe right to add item to cart.",390,3.7
Chia shake,Veg Item,"A refreshing and nutritious shake packed with wholesome goodness, perfect for a satisfying shake Swipe right to add item to cart.",225,3.5
Lemon Shikanji,Veg Item,A refreshing and tangy citrus-infused delight that will invigorate your taste buds. Swipe right to add item to cart.,135,3.0
Cold Coffee,Veg Item,"Milk, coffee, coffee syrup ice cube,sugar Swipe right to add item to cart.",160,3.0
Lehsuni bhindi,Veg Item,"Lehsun or hari mirch, me bni chatpati bhindi Swipe right to add item to cart.",299,3.4
Paneer Lababdar,Veg Item,A rich and creamy vegetarian delight that will tantalize your taste buds with its delectable flavors. This item is customizable. Swipe right to add item to cart.,320,3.1
Fried litti Chokha,Veg Item,4 pcs litti or chokha Swipe right to add item to cart.,249,3.3
Amritsari Paneer Bhurji,Veg Item,Famous amritsari paneer bhurji This item is customizable. Swipe right to add item to cart.,320,3.1
Diet combo pack,Veg Item,"1 banana, 2 pcs boil egg, khajur milk, 2 slice butter bread Swipe right to add item to cart.",250,2.8
Kerala Sweet Dish,Veg Item,Kerala ki sweet dish gulgula Swipe right to add item to cart.,199,3.1
Besan ki roti with aloo matar greavy,Veg Item,4 pcs besan ki roti with aloo matar greavy Swipe right to add item to cart.,299,3.7
Chonkwa,Veg Item,Bby potato dry veg (Small potato) with rayta Swipe right to add item to cart.,289,3.6
Full diet,Veg Item,"4 pcs pudi ,rice dal fry , aaloo tamatar ki sbzi, papad Swipe right to add item to cart.",299,3.2
Egg Bhurji Combo,Non-veg item,4 Egg bhurji with 4 pcs maida paratha Swipe right to add item to cart.,280,3.5
Makke ki roti,Veg Item,Makke ki roti Swipe right to add item to cart.,35,2.7
Aaloo bhujia,Veg Item,Garlic green chilli tadka Aaloo bhujia Swipe right to add item to cart.,270,3.5
Pudi sbzi,Veg Item,Palak ajwain ki pudi (6 pies) aaloo matar ki sbzi with chatni salad Swipe right to add item to cart.,270,3.3
Paneer litti chokha,Veg Item,Stuffed paneer litti chokha 4 pcs litti Swipe right to add item to cart.,299,3.4
Egg Biryani,Non-veg item,2 pcs egg biryani nd 2 pcs egg Curry with rayta salad Swipe right to add item to cart.,299,3.0
Seasonal Veg Rayta Or Plain Pratha,Veg Item,Seasonal veg with plain pratha.... Swipe right to add item to cart.,190,2.8
"Aaloo ki kachori, aaloo tamatar ki khatti sbzi 4 piece's",Veg Item,"Aaloo ki kachori, aaloo tamatar ki khatti sbzi Swipe right to add item to cart.",299,2.5
Kathal Korma,Veg Item,Spicy jackfruit korma gravy Swipe right to add item to cart.,399,3.7
Kathal with paratha,Veg Item,4 pcs paratha Swipe right to add item to cart.,290,2.9
Kathal Masala,Veg Item,A delectable and flavorful vegetable dish that combines tender jackfruit with a rich and aromatic Korma sauce. Swipe right to add item to cart.,399,3.1
Vrat Vala Kuttu Ka Halwa,Veg Item,Kuttu ka ata dry fruit's milk Swipe right to add item to cart.,250,3.1
Singhade Ke Aate Ki Pakodi,Veg Item,Singhade ka ata mix veg Swipe right to add item to cart.,360,3.6
Kuttu Ke Aate Ki Pakodi,Veg Item,Kuttu ka ata mix veg Crispy 20 piece Swipe right to add item to cart.,360,3.0
Kuttu Ki Pudi,Veg Item,Pure Kuttu ke aate ki pudi 10 piece Swipe right to add item to cart.,250,3.0
Simple Raj Rani Thali,Veg Item,"Singhade ki pudi 4 piece,mix aalloo sabudana falahaari,mix dry fruit's sabudana kheer, dahi rayta, kaju badam milk Swipe right to add item to cart.",520,2.7
Vrat Me Sabudane Ki Khichadi,Veg Item,Sabudana allo tamatar Dhaniya mircha lemon Swipe right to add item to cart.,360,3.2
Vrat Me Fry Sabudane,Veg Item,"Fry sabudane peanuts, makhane, Kaju,Aalu Swipe right to add item to cart.",260,3.4
Baby masala potato,Veg Item,"Chote aalu ki dry veg, dry masale me bne Swipe right to add item to cart.",260,2.7
Navratri Special Maharani Thal,Veg Item,"Mix fruit's,:-bnana apple, orange Food:-kuttu ke prathe, mix dry fruit's sabudana kheer, chatni, fry crispy aalloo, rayta, fry peanuts Swipe right to add item to cart.",580,2.8
"Bhandare Vali Chatpati Sbzi, Or Methi Ajvain Ki Pudi",Veg Item,Bhandare vali chatpati aaloo ki sbzi or meti ajwain ki pudi Swipe right to add item to cart.,289,3.4
Aaloo Chane Ki Dal,Veg Item,Chatpati aaloo chane ki dal gravy Swipe right to add item to cart.,249,3.0
Aam Ka Galka (Kacchi Keri),Veg Item,"Kacchi keri, gud, ghar ke bne masale Swipe right to add item to cart.",449,3.7
Simple Pudi Bhandare Vali Sbzi,Veg Item,4 pcs poori with chatpati bhandare wali sabji Swipe right to add item to cart.,250,3.6
Dal Bhari (Chane Dal Ka Pratha),Veg Item,Chana daal 2 pcs parathe Swipe right to add item to cart.,230,3.4
Louki Kofta,Veg Item,A flavorful and refreshing vegetarian dish that combines delicate kofta with a medley of fresh ingredients. Swipe right to add item to cart.,299,3.0
Ghar Ka Bana Chatpata Bharuwa Laal Mirch,Veg Item,Ghar ka bna chatpata bharuwa laal mirch 180 me 4 pcs Swipe right to add item to cart.,180,3.0
Suji Halwa,Veg Item,"Deshi ghee, dry fruits, suji halwa Swipe right to add item to cart.",220,3.7
Kheer,Veg Item,"A delectable vegetarian dessert that blends creamy textures with sweet flavors, creating a delightful treat for any occasion. Swipe right to add item to cart.",220,3.6
Gulabjamun,Veg Item,..Indulge in a mouthwatering sweet treat that will satisfy your dessert cravings. This item is customizable. Swipe right to add item to cart.,110,2.8
Moong Dal Halwa,Veg Item,"A rich and indulgent Indian dessert made with a blend of lentils, simmered in ghee and infused with aromatic spices. Swipe right to add item to cart.",260,3.1
Holi Special,Veg Item,"With pure deshi ghee, khoya, dry fruit's Swipe right to add item to cart.",1000,3.7
Holi Special:- With Dry Fruit's Khoya Ghujiya,Veg Item,"Khoya, dry fruit's Swipe right to add item to cart.",699,3.1
Veg Oats,Veg Item,A delightful and wholesome dessert made with a unique combination of vegetables and oats. Swipe right to add item to cart.,210,3.6
Caramel Kheer,Veg Item,"Indulge in a luscious, creamy treat infused with the richness of caramel, perfect for satisfying your sweet tooth. Swipe right to add item to cart.",280,3.3
Rajasthani lapsi (sugar),Veg Item,"Deshi ghee me bna lapsi Daliya, milk,dry fruit's Swipe right to add item to cart.",310,3.5
Frooti,Veg Item,"Mango drink, 125 ml ki 5 bottle Swipe right to add item to cart.",130,3.7
