Restaurant Name,Location,Menu Item,Veg/Non-Veg,Description,Cost,Rating,Special Features,Operating Hours,Phone Number
Royal Kitchen,Indira Nagar,Kadhai Paneer With Lacche Paraathe,Veg Item,"A flavorful and aromatic combination of succulent paneer cooked in a traditional kadhai gravy, served with flaky and buttery lacche paraathe. Swipe right to add item to cart.",390,2.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Combo Thaal,Veg Item,"Achar, mix veg, maide ke 4 prathe, with kullad vali chai, adrak ilaychi Swipe right to add item to cart.",299,3.2,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Mix veg namkin pulao,Veg Item,"A delightful and flavorful mixed vegetable rice dish, perfect for those seeking a delightful blend of textures and flavors. Swipe right to add item to cart.",230,2.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Combo meal,Veg Item,"Matar paneer Greavy, rice Swipe right to add item to cart.",199,2.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Lunch,Veg Item,"4 roti,Rice,Dal, Seasonal veg, Salad Swipe right to add item to cart.",250,3.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Dinner,Veg Item,4 roti Fry daal Rice Dry veg Salad Swipe right to add item to cart.,250,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Aloo Sabudana Falhari,Veg Item,Aloo sabudana tamator sendha namak peanut with green chilli nd juicy lemon This item is customizable. Swipe right to add item to cart.,360,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Sabudana Khichdi,Veg Item,Chatpati Sabudana khichdi This item is customizable. Swipe right to add item to cart.,350,3.0,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,"Kuttu Ki Poori, Aloo Sabji",Veg Item,4 pcs kuttu ki poori with chatpati aloo ko sabji This item is customizable. Swipe right to add item to cart.,300,3.0,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Kuttu Ki Poori,Veg Item,6 pcs This item is customizable. Swipe right to add item to cart.,260,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Sabudana Kheer,Veg Item,With lots of dry fruits Swipe right to add item to cart.,320,3.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Aloo Sandwich,Veg Item,A flavorful and satisfying snack filled with a delightful mix veg potatoes combination of ingredients. Swipe right to add item to cart.,260,3.2,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Tulsi Tea,Veg Item,A refreshing and aromatic tea that will transport you to a world of soothing flavors and delightful indulgence. Swipe right to add item to cart.,55,3.3,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Ilayachi Tea,Veg Item,"A fragrant and soothing tea bursting with warm flavors, perfect for a relaxing afternoon. Swipe right to add item to cart.",55,3.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Masala Tea,Veg Item,An aromatic and flavorful blend of warm spices and fragrant tea leaves bursting with savory and delightful flavors. Swipe right to add item to cart.,55,2.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Dahi Lassi,Veg Item,Dahi and dry fruit's A refreshing and creamy yogurt-based beverage perfect for a quick and satisfying snack. Swipe right to add item to cart.,120,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Chanch,Veg Item,Masala chanch Swipe right to add item to cart.,90,3.1,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Omlet,Non-veg item,2pcs egg...A delectable egg-omlet that's perfect for any time of the day. Swipe right to add item to cart.,110,2.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Bread Omlet,Non-veg item,2 egg with four slice bread Swipe right to add item to cart.,169,3.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Bread (2 Slice),Non-veg item,A delightful and satisfying snack featuring two slices of bread Swipe right to add item to cart.,69,2.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Boil Egg (4 Pcs),Non-veg item,"Satisfy your snack cravings with these perfectly boiled eggs that are simple, satisfying, and packed with protein. Swipe right to add item to cart.",199,2.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Half Fry Egg,Non-veg item,Serve with 2 eggs and 2 pcs bread Swipe right to add item to cart.,199,3.0,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Punjaabi Besun Curry Rice,Veg Item,"A flavorful and aromatic Punjabi curry served with fluffy rice, perfect for lunch nd dinner Swipe right to add item to cart.",260,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Arhar Urad Mix Dal,Veg Item,"A delectable mix of lentils, bursting with flavor and perfect for a quick and satisfying mix dal Swipe right to add item to cart.",250,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,"Tehri, Achar, Curd",Veg Item,"Tehri with mix veg,salad, Achaar, rayta Swipe right to add item to cart.",260,2.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Aalu sabudana balls,Veg Item,"Aaloo, sabudane, mix veg Ball's Vrat ke item 10 pcs Swipe right to add item to cart.",250,2.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Bread Pakoda,Veg Item,"[4pcs]......A delectable snack made with crispy bread, packed with savory flavors and a delightful crunch. Swipe right to add item to cart.",230,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Pyaaz Besan Ki Pakoda,Veg Item,"Pyaz, besan,hari mirch, Dhaniya Swipe right to add item to cart.",200,2.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Vrat vala snake,Veg Item,"Fry aalu, anaar dana, peanut, aalu bhujiya Swipe right to add item to cart.",300,2.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Crispy paneer sticks,Veg Item,Deliciously crispy paneer sticks with green sauce Swipe right to add item to cart.,299,3.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Hare bhare fare,Veg Item,Matar ke fare Swipe right to add item to cart.,299,2.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Fry idli,Veg Item,Tadka idli Swipe right to add item to cart.,289,3.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Appe,Veg Item,Mix veg suji ke appe with sauce Swipe right to add item to cart.,225,2.9,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Mix Veg Uttapam,Veg Item,Mix veg uttapam capsicum onion carrot beans with suji [2 pcs] Swipe right to add item to cart.,250,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,French fries,Veg Item,Crispy French fries with ketchup and mayo Swipe right to add item to cart.,220,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Thread Samosa,Veg Item,Stuffing paneer aloo tikki 4 piece Swipe right to add item to cart.,199,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Fry mirch,Veg Item,Fry Tikhi hari mirch Swipe right to add item to cart.,199,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Sirka onion,Veg Item,A delightful and tangy onion snack that will leave you craving for more. Swipe right to add item to cart.,220,2.9,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Hyderabadi stuffed baigan,Veg Item,A delectable Hyderabadi specialty showcasing tender eggplant stuffed with an irresistible mixture of flavors. Swipe right to add item to cart.,260,3.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Chatpate chane sev,Veg Item,"A tangy and flavorful snack made with crispy sev and savory chickpeas, perfect for a delightful indulgence. Swipe right to add item to cart.",210,3.1,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Rice pakodi,Veg Item,Rice pakodi with green chatni (30 pcs) Swipe right to add item to cart.,299,2.9,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Aaloo pakode,Veg Item,Aaloo ke pakode with green chatni (12 pcs) Swipe right to add item to cart.,280,2.9,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Chilli garlic masala Maggie,Veg Item,Masala Chilli garlic masala Maggie Swipe right to add item to cart.,210,2.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Chola Rice,Veg Item,A flavorful and hearty pocket-friendly meal combo featuring a delectable combination of aromatic rice and savory chickpeas. Swipe right to add item to cart.,290,2.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Rajma Rice,Veg Item,"Rajma, rice combo, rayta with salad chatni Swipe right to add item to cart.",220,2.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Dal Rice,Veg Item,"A comforting and affordable combination of lentils and rice, perfect for a quick and satisfying vegetarian meal. Swipe right to add item to cart.",290,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Besun Curry Rice,Veg Item,Combo meal Swipe right to add item to cart.,290,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Arhar Urad Mix Dal Rice,Veg Item,"Arhar or urad mix dal tadka, with rice Swipe right to add item to cart.",290,3.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Sabji Pratha,Veg Item,4 pratha with dry seasonal veg Swipe right to add item to cart.,210,2.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Puri Sabji,Veg Item,"Seasonal veg , 5 pcs pudi Swipe right to add item to cart.",199,3.1,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,4 Pcs Roti Sabji,Veg Item,"4 pratha seasonal veg rayta,salad, achaar Swipe right to add item to cart.",199,2.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Plain Pratha,Veg Item,4 pcs plain paratha Swipe right to add item to cart.,129,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Pyaaz Pratha 2 Pcs,Veg Item,"A delectable, pocket-friendly combo with two irresistible vegetable-filled Pyaaz Prathas. Swipe right to add item to cart.",210,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Alloo Pratha 2 Pcs,Veg Item,Aloo paratha with pickle and curd Swipe right to add item to cart.,220,3.3,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Sattu Pratha,Veg Item,Sattu pratha 2 pcs Swipe right to add item to cart.,230,3.0,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Paneer Pratha 2 Pcs,Veg Item,Delicious and pocket-friendly combo of 2 pieces of Paneer Pratha. Swipe right to add item to cart.,240,3.2,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Holi Special Crispy Namak Pare,Veg Item,Namak pare Swipe right to add item to cart.,380,2.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Mix Daal,Veg Item,"Arhar, urad, laal masoor, hari urad, mix dal Swipe right to add item to cart.",250,2.9,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Steam Rice,Veg Item,An affordable and satisfying vegetarian combo featuring fluffy steamed rice and delectable flavors. Swipe right to add item to cart.,280,3.1,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Masoor dal khichadi,Veg Item,"Masoor dal ki khichadi, salad Swipe right to add item to cart.",210,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Egg Bhurji Fish Roti,Non-veg item,Egg bhurji with 4 pcs roti Swipe right to add item to cart.,260,2.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Egg rice combo,Non-veg item,"A delectable combination of rice and eggs, perfect for a pocket-friendly and satisfying meal. 2 pies egg curry Swipe right to add item to cart.",260,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Begun Bharta,Veg Item,"A luscious and flavorful Indian delicacy, this vegetable gravy will transport your tastebuds to a world of pure delight. This item is customizable. Swipe right to add item to cart.",250,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Aaloo Baigan Ki Sbzi,Veg Item,Aaloo baigan tamatar Dhaniya mircha 280/half 480/full Swipe right to add item to cart.,280,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Makhane Ka Rayta,Veg Item,Makhana dahi anar dana Swipe right to add item to cart.,225,3.0,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Paneer Malmal (Punjabi Paneer ),Veg Item,"Dry fruit's, paneer Swipe right to add item to cart.",310,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Spicy Handi Paneer,Veg Item,"Paneer,dry fruits,Saif secret masale, Swipe right to add item to cart.",380,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Masala Palak Paneer,Veg Item,Paneer Palak secret masala Swipe right to add item to cart.,390,3.3,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Simple Palak Paneer,Veg Item,Palak paneer Swipe right to add item to cart.,370,2.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Dry mix veg,Veg Item,"Beans, gajar, gobhi, Hara matar,paneer, green onion Swipe right to add item to cart.",299,2.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Hare bhare parathe,Veg Item,"Hare matar ke prathe, ghr ke masale, with achaar or curd Swipe right to add item to cart.",200,3.0,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Malai Kofta,Veg Item,"Panerr dry fruits ki stuffing, nd dry fruits tamato ki greavy Swipe right to add item to cart.",386,2.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Dum aaloo,Veg Item,Dum aloo chatpati greavy Swipe right to add item to cart.,299,2.9,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Kathal malai kofta,Veg Item,"Kathal kofta greavy dry fruit's, tamato khade masale Swipe right to add item to cart.",420,3.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Mix veg kofta,Veg Item,Mix veg kofta semi greavy sbzi 4 pcs kofta pakodi Swipe right to add item to cart.,310,3.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Jeera Aloo,Veg Item,A flavorful and aromatic potato dish that is perfect as a satisfying main course. This item is customizable. Swipe right to add item to cart.,310,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Dry Aloo Gobhi,Veg Item,A delectable vegetarian main course featuring a flavorful blend of potatoes and cauliflower. Swipe right to add item to cart.,380,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Sbzi paratha,Veg Item,Sbzi paratha /seasonal veg This item is customizable. Swipe right to add item to cart.,250,3.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Gravy Aloo Soyabean,Veg Item,A flavorful and hearty vegetarian main course that combines the richness of gravy with the goodness of aloo and soyabean. This item is customizable. Swipe right to add item to cart.,250,3.1,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Daal Tadka,Veg Item,"A flavorful and aromatic traditional Indian lentil dish, perfect for a satisfying and nourishing main course. This item is customizable. Swipe right to add item to cart.",210,3.1,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Daal Fry,Veg Item,"A flavorful and hearty vegetarian main course that satisfies with its aromatic blend of spices and rich, comforting texture. This item is customizable. Swipe right to add item to cart.",210,2.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Desi ghee Arhar Dal Tadka,Veg Item,Arhar daal tadka desi ghee me This item is customizable. Swipe right to add item to cart.,250,2.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Lauki Kofta 2 Pcs,Veg Item,4pcs...Delicious vegetable koftas in a flavorful main course dish. This item is customizable. Swipe right to add item to cart.,299,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Kali Masoor,Veg Item,A flavorful and aromatic Indian lentil dish that will satisfy your cravings for a hearty and fulfilling meal. This item is customizable. Swipe right to add item to cart.,280,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Egg Curry,Non-veg item,2 pcs A flavorful and comforting non-veg main course dish featuring tender eggs in a rich and fragrant curry. This item is customizable. Swipe right to add item to cart.,210,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Mator Paneer,Veg Item,A flavorful and hearty vegetarian main course that combines succulent cubes of cottage cheese with a rich and creamy tomato-based gravy. This item is customizable. Swipe right to add item to cart.,250,3.3,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Kadai Paneer,Veg Item,A flavorful and aromatic Indian delight showcasing tender paneer cooked with a medley of fresh vegetables in a rich tomato-based gravy. This item is customizable. Swipe right to add item to cart.,250,2.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Chatpati Fry Aloo Ki Sbzi,Veg Item,A flavorful and tantalizing vegetarian dish featuring crispy fried potatoes in a savory gravy bursting with delightful flavors. This item is customizable. Swipe right to add item to cart.,260,2.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Chola Gravy,Veg Item,"A flavorful and savory dish that brings together a rich, aromatic gravy with perfectly cooked chola for a satisfying main course. This item is customizable. Swipe right to add item to cart.",289,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Rajma Grvy,Veg Item,A rich and flavorful vegetarian main course that will tantalize your taste buds. This item is customizable. Swipe right to add item to cart.,289,2.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Chane Ki Daal,Veg Item,"A flavorful vegetarian main course featuring a classic Indian lentil preparation, perfect for a satisfying meal. This item is customizable. Swipe right to add item to cart.",250,3.2,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Chana Louki Daal,Veg Item,A delectable and satisfying vegetarian main course that combines the goodness of chana (chickpeas) and louki (bottle gourd) daal. This item is customizable. Swipe right to add item to cart.,240,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Mator Nimona,Veg Item,A delectable veg main course that will tantalize your taste buds with its rich and flavorful blend of ingredients. This item is customizable. Swipe right to add item to cart.,250,3.0,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Dry Aalu Parwal,Veg Item,"A delectable and flavorful veggie delight that combines the goodness of potatoes and parwal in a dry, satisfying main course dish. Swipe right to add item to cart.",269,3.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Karele Ki Bhujiya,Veg Item,A flavorful and savory Indian stir-fry dish that will tantalize your taste buds. Swipe right to add item to cart.,230,2.9,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Bharwan Karela,Veg Item,Stuff karele Swipe right to add item to cart.,230,3.1,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Kadhai Paneer With 2Pcs Lacha Paratha,Veg Item,"Indulge in a flavorsome blend of succulent paneer cooked in a rich kadhai gravy, complemented by mouthwatering 2Pcs Lacha Paratha. Swipe right to add item to cart.",390,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Chia shake,Veg Item,"A refreshing and nutritious shake packed with wholesome goodness, perfect for a satisfying shake Swipe right to add item to cart.",225,3.5,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
